note_id,etudiant_id,module,filiere,note,semestre,annee,mention
1,1,Analyse 1,Mathématiques,17.7,1,2020,Très Bien
2,1,Topologie,Mathématiques,13.38,1,2020,Assez Bien
3,1,Probabilités,Mathématiques,7.34,2,2020,Échec
4,1,Statistiques,Mathématiques,13.4,2,2020,Assez Bien
5,1,Analyse 1,Mathématiques,9.46,1,2020,Échec
6,1,Analyse Numérique,Mathématiques,12.28,1,2020,Assez Bien
7,2,Droit Int.,Droit,5.66,1,2020,Échec
8,2,Droit Commercial,Droit,7.82,1,2020,Échec
9,2,Droit Commercial,Droit,11.78,1,2020,Passable
10,2,Droit Commercial,Droit,7.7,2,2020,Échec
11,2,Droit Administratif,Droit,6.35,2,2020,Échec
12,2,Droit Pénal,Droit,14.6,1,2020,Bien
13,3,Chimie Organique,Chimie,10.85,2,2020,Passable
14,3,Biochimie,Chimie,3.86,1,2020,Échec
15,3,Chimie Analytique,Chimie,7.09,2,2020,Échec
16,3,Chimie Générale,Chimie,3.04,1,2020,Échec
17,3,Chimie Générale,Chimie,16.04,2,2020,Très Bien
18,3,Électrochimie,Chimie,12.35,1,2020,Assez Bien
19,4,Biochimie Méd.,Médecine,12.63,2,2022,Assez Bien
20,4,Physiologie,Médecine,17.37,2,2022,Très Bien
21,4,Pathologie,Médecine,12.32,1,2022,Assez Bien
22,4,Physiologie,Médecine,9.22,2,2022,Échec
23,4,Physiologie,Médecine,15.48,1,2022,Bien
24,4,Sémiologie,Médecine,14.93,2,2022,Bien
25,5,Physiologie,Biologie,7.85,1,2021,Échec
26,5,Microbiologie,Biologie,9.98,1,2021,Échec
27,5,Génétique,Biologie,10.29,2,2021,Passable
28,5,Microbiologie,Biologie,6.43,1,2021,Échec
29,5,Physiologie,Biologie,9.97,1,2021,Échec
30,5,Génétique,Biologie,9.48,2,2021,Échec
31,6,Statistiques,Mathématiques,5.73,2,2022,Échec
32,6,Analyse Numérique,Mathématiques,12.69,1,2022,Assez Bien
33,6,Topologie,Mathématiques,4.37,2,2022,Échec
34,6,Algèbre 1,Mathématiques,8.04,1,2022,Échec
35,6,Probabilités,Mathématiques,11.07,2,2022,Passable
36,6,Probabilités,Mathématiques,13.83,2,2022,Assez Bien
37,7,Droit Pénal,Droit,9.46,2,2020,Échec
38,7,Droit Administratif,Droit,7.76,2,2020,Échec
39,7,Droit Commercial,Droit,11.72,1,2020,Passable
40,7,Droit Pénal,Droit,6.43,1,2020,Échec
41,7,Droit Commercial,Droit,12.39,1,2020,Assez Bien
42,7,Droit Commercial,Droit,9.3,1,2020,Échec
43,8,Pathologie,Médecine,11.69,1,2022,Passable
44,8,Sémiologie,Médecine,11.35,2,2022,Passable
45,8,Sémiologie,Médecine,11.25,2,2022,Passable
46,8,Sémiologie,Médecine,12.06,2,2022,Assez Bien
47,8,Pathologie,Médecine,11.6,1,2022,Passable
48,8,Sémiologie,Médecine,7.23,2,2022,Échec
49,9,Algèbre 1,Mathématiques,6.34,2,2021,Échec
50,9,Probabilités,Mathématiques,12.05,1,2021,Assez Bien
51,9,Analyse Numérique,Mathématiques,11.72,1,2021,Passable
52,9,Topologie,Mathématiques,20.0,1,2021,Très Bien
53,9,Statistiques,Mathématiques,13.79,1,2021,Assez Bien
54,9,Analyse Numérique,Mathématiques,15.35,2,2021,Bien
55,10,Thermodynamique,Physique,17.56,1,2022,Très Bien
56,10,Mécanique,Physique,12.7,2,2022,Assez Bien
57,10,Thermodynamique,Physique,11.6,2,2022,Passable
58,10,Optique,Physique,16.91,2,2022,Très Bien
59,10,Optique,Physique,11.84,2,2022,Passable
60,10,Mécanique,Physique,10.23,2,2022,Passable
61,11,Droit Int.,Droit,10.58,1,2021,Passable
62,11,Droit Administratif,Droit,16.0,2,2021,Très Bien
63,11,Droit Commercial,Droit,3.71,1,2021,Échec
64,11,Procédure Civile,Droit,6.52,2,2021,Échec
65,11,Droit Administratif,Droit,13.8,2,2021,Assez Bien
66,11,Droit Commercial,Droit,10.51,2,2021,Passable
67,12,Topographie,Génie Civil,13.21,1,2020,Assez Bien
68,12,Matériaux,Génie Civil,2.94,1,2020,Échec
69,12,Topographie,Génie Civil,11.81,2,2020,Passable
70,12,Mécanique des Sols,Génie Civil,12.38,1,2020,Assez Bien
71,12,Mécanique des Sols,Génie Civil,13.99,1,2020,Assez Bien
72,12,Structures,Génie Civil,15.54,1,2020,Bien
73,13,Statistiques,Mathématiques,13.39,2,2021,Assez Bien
74,13,Analyse Numérique,Mathématiques,5.08,2,2021,Échec
75,13,Statistiques,Mathématiques,11.58,2,2021,Passable
76,13,Analyse 1,Mathématiques,13.3,1,2021,Assez Bien
77,13,Analyse 1,Mathématiques,14.72,1,2021,Bien
78,13,Analyse Numérique,Mathématiques,14.86,1,2021,Bien
79,14,Énergie,Génie Électrique,12.46,1,2023,Assez Bien
80,14,Énergie,Génie Électrique,12.92,2,2023,Assez Bien
81,14,Énergie,Génie Électrique,16.59,2,2023,Très Bien
82,14,Électronique,Génie Électrique,9.91,1,2023,Échec
83,14,Signal,Génie Électrique,7.46,2,2023,Échec
84,14,Électrotechnique,Génie Électrique,8.2,1,2023,Échec
85,15,Pharmacologie,Médecine,5.26,1,2023,Échec
86,15,Sémiologie,Médecine,6.79,2,2023,Échec
87,15,Physiologie,Médecine,10.41,2,2023,Passable
88,15,Sémiologie,Médecine,7.38,1,2023,Échec
89,15,Physiologie,Médecine,9.46,1,2023,Échec
90,15,Physiologie,Médecine,12.48,2,2023,Assez Bien
91,16,Droit Pénal,Droit,9.03,1,2023,Échec
92,16,Procédure Civile,Droit,9.46,1,2023,Échec
93,16,Droit Civil,Droit,8.9,1,2023,Échec
94,16,Droit Int.,Droit,11.24,2,2023,Passable
95,16,Procédure Civile,Droit,3.84,2,2023,Échec
96,16,Droit Pénal,Droit,14.9,2,2023,Bien
97,17,Signal,Génie Électrique,6.73,1,2020,Échec
98,17,Signal,Génie Électrique,16.83,1,2020,Très Bien
99,17,Automatique,Génie Électrique,8.12,1,2020,Échec
100,17,Automatique,Génie Électrique,11.42,2,2020,Passable
101,17,Automatique,Génie Électrique,13.35,1,2020,Assez Bien
102,17,Énergie,Génie Électrique,16.83,1,2020,Très Bien
103,18,Procédure Civile,Droit,16.83,2,2020,Très Bien
104,18,Droit Administratif,Droit,11.26,2,2020,Passable
105,18,Droit Civil,Droit,14.27,2,2020,Bien
106,18,Droit Commercial,Droit,15.8,2,2020,Bien
107,18,Procédure Civile,Droit,8.87,2,2020,Échec
108,18,Droit Pénal,Droit,13.4,2,2020,Assez Bien
109,19,Topologie,Mathématiques,11.97,2,2022,Passable
110,19,Topologie,Mathématiques,6.51,2,2022,Échec
111,19,Probabilités,Mathématiques,16.24,2,2022,Très Bien
112,19,Analyse Numérique,Mathématiques,10.62,1,2022,Passable
113,19,Analyse Numérique,Mathématiques,13.12,1,2022,Assez Bien
114,19,Analyse 1,Mathématiques,12.97,1,2022,Assez Bien
115,20,Procédure Civile,Droit,8.05,1,2020,Échec
116,20,Droit Pénal,Droit,13.13,2,2020,Assez Bien
117,20,Droit Int.,Droit,12.75,1,2020,Assez Bien
118,20,Droit Administratif,Droit,11.06,2,2020,Passable
119,20,Droit Civil,Droit,13.61,1,2020,Assez Bien
120,20,Procédure Civile,Droit,12.11,1,2020,Assez Bien
121,21,Relativité,Physique,2.37,2,2022,Échec
122,21,Relativité,Physique,18.67,1,2022,Très Bien
123,21,Électromagnétisme,Physique,8.26,1,2022,Échec
124,21,Relativité,Physique,7.68,2,2022,Échec
125,21,Électromagnétisme,Physique,16.29,1,2022,Très Bien
126,21,Physique Quantique,Physique,12.13,1,2022,Assez Bien
127,22,Statistiques Éco,Économie,13.88,1,2020,Assez Bien
128,22,Macroéconomie,Économie,11.66,1,2020,Passable
129,22,Comptabilité,Économie,11.69,2,2020,Passable
130,22,Finance,Économie,7.33,1,2020,Échec
131,22,Marketing,Économie,17.21,1,2020,Très Bien
132,22,Marketing,Économie,11.6,2,2020,Passable
133,23,Biochimie,Chimie,15.27,2,2020,Bien
134,23,Chimie Analytique,Chimie,3.21,2,2020,Échec
135,23,Chimie Organique,Chimie,8.93,2,2020,Échec
136,23,Électrochimie,Chimie,9.37,1,2020,Échec
137,23,Chimie Analytique,Chimie,13.16,1,2020,Assez Bien
138,23,Électrochimie,Chimie,15.23,2,2020,Bien
139,24,Thermodynamique,Physique,17.81,2,2023,Très Bien
140,24,Physique Quantique,Physique,8.64,2,2023,Échec
141,24,Relativité,Physique,7.36,2,2023,Échec
142,24,Électromagnétisme,Physique,12.37,2,2023,Assez Bien
143,24,Optique,Physique,7.45,1,2023,Échec
144,24,Optique,Physique,3.25,1,2023,Échec
145,25,Chimie Analytique,Chimie,16.17,1,2021,Très Bien
146,25,Biochimie,Chimie,13.33,1,2021,Assez Bien
147,25,Chimie Analytique,Chimie,7.82,1,2021,Échec
148,25,Biochimie,Chimie,12.95,2,2021,Assez Bien
149,25,Chimie Organique,Chimie,10.06,2,2021,Passable
150,25,Chimie Générale,Chimie,14.93,1,2021,Bien
151,26,Statistiques,Mathématiques,9.9,2,2021,Échec
152,26,Algèbre 1,Mathématiques,13.59,1,2021,Assez Bien
153,26,Statistiques,Mathématiques,10.76,1,2021,Passable
154,26,Probabilités,Mathématiques,8.08,1,2021,Échec
155,26,Algèbre 1,Mathématiques,11.89,2,2021,Passable
156,26,Algèbre 1,Mathématiques,13.9,1,2021,Assez Bien
157,27,Anatomie,Médecine,16.26,2,2021,Très Bien
158,27,Sémiologie,Médecine,8.11,1,2021,Échec
159,27,Sémiologie,Médecine,18.5,2,2021,Très Bien
160,27,Sémiologie,Médecine,8.97,2,2021,Échec
161,27,Pharmacologie,Médecine,17.62,2,2021,Très Bien
162,27,Pharmacologie,Médecine,6.07,1,2021,Échec
163,28,Matériaux,Génie Civil,10.46,1,2020,Passable
164,28,Béton Armé,Génie Civil,13.78,2,2020,Assez Bien
165,28,Topographie,Génie Civil,11.96,2,2020,Passable
166,28,Topographie,Génie Civil,10.62,1,2020,Passable
167,28,Topographie,Génie Civil,17.12,2,2020,Très Bien
168,28,Hydraulique,Génie Civil,10.09,1,2020,Passable
169,29,Anatomie,Médecine,9.21,1,2023,Échec
170,29,Biochimie Méd.,Médecine,7.53,2,2023,Échec
171,29,Sémiologie,Médecine,12.66,2,2023,Assez Bien
172,29,Physiologie,Médecine,9.04,2,2023,Échec
173,29,Pharmacologie,Médecine,14.54,1,2023,Bien
174,29,Pharmacologie,Médecine,10.06,2,2023,Passable
175,30,Algèbre 1,Mathématiques,5.16,2,2023,Échec
176,30,Statistiques,Mathématiques,14.25,2,2023,Bien
177,30,Statistiques,Mathématiques,11.9,1,2023,Passable
178,30,Analyse 1,Mathématiques,12.92,2,2023,Assez Bien
179,30,Algèbre 1,Mathématiques,3.59,1,2023,Échec
180,30,Algèbre 1,Mathématiques,8.32,1,2023,Échec
181,31,Réseaux,Informatique,11.85,2,2023,Passable
