finance_id,poste_budgetaire,montant,type,date,annee,departement,description
1,Salaires Enseignants,1664594.42,Dépense,2024-12-25,2023,Informatique,Dépense - Salaires Enseignants
2,Équipements Informatiques,4568748.9,Dépense,2020-04-05,2024,Génie Électrique,Dépense - Équipements Informatiques
3,Subvention État,799281.17,Recette,2020-01-31,2022,Chimie,Recette - Subvention État
4,Salaires Administratifs,570928.84,Dépense,2022-09-01,2023,Génie Électrique,Dépense - Salaires Administratifs
5,Dons,680682.93,Recette,2023-05-20,2020,Biologie,Recette - Dons
6,Bibliothèque,649711.07,Dépense,2023-09-06,2024,Génie Civil,Dépense - Bibliothèque
7,Dons,2469080.53,Recette,2024-08-29,2024,Chimie,Recette - Dons
8,Activités Étudiantes,657739.99,Dépense,2020-10-19,2021,Administration Centrale,Dépense - Activités Étudiantes
9,Salaires Administratifs,3589167.66,Dépense,2021-08-01,2024,Mathématiques,Dépense - Salaires Administratifs
10,Bibliothèque,931287.51,Dépense,2023-09-12,2022,Génie Civil,Dépense - Bibliothèque
11,Travaux,3345098.25,Dépense,2022-11-30,2024,Médecine,Dépense - Travaux
12,Subvention État,1646440.63,Recette,2022-02-06,2021,Médecine,Recette - Subvention État
13,Salaires Enseignants,3742200.35,Dépense,2024-06-25,2023,Administration Centrale,Dépense - Salaires Enseignants
14,Maintenance,4897857.79,Dépense,2020-01-30,2021,Administration Centrale,Dépense - Maintenance
15,Maintenance,817807.17,Dépense,2021-10-22,2020,Médecine,Dépense - Maintenance
16,Recherche Scientifique,946863.84,Dépense,2024-11-15,2024,Génie Électrique,Dépense - Recherche Scientifique
17,Maintenance,2271436.04,Dépense,2021-06-22,2024,Économie,Dépense - Maintenance
18,Bibliothèque,3280747.92,Dépense,2022-11-19,2022,Génie Civil,Dépense - Bibliothèque
19,Contrats Recherche,1711505.14,Recette,2024-11-20,2023,Droit,Recette - Contrats Recherche
20,Salaires Administratifs,3343383.3,Dépense,2021-12-02,2024,Biologie,Dépense - Salaires Administratifs
21,Recherche Scientifique,2138307.45,Dépense,2020-02-22,2024,Physique,Dépense - Recherche Scientifique
22,Travaux,4152088.99,Dépense,2020-09-03,2024,Biologie,Dépense - Travaux
23,Recherche Scientifique,1542081.72,Dépense,2022-06-12,2024,Mathématiques,Dépense - Recherche Scientifique
24,Subvention État,1993814.91,Recette,2024-12-18,2024,Chimie,Recette - Subvention État
25,Maintenance,3881797.69,Dépense,2021-02-10,2022,Droit,Dépense - Maintenance
26,Équipements Informatiques,2818786.19,Dépense,2022-12-22,2024,Informatique,Dépense - Équipements Informatiques
27,Subvention État,3471536.79,Recette,2022-12-23,2021,Génie Civil,Recette - Subvention État
28,Équipements Informatiques,3178187.63,Dépense,2024-10-25,2024,Chimie,Dépense - Équipements Informatiques
29,Dons,4292893.03,Recette,2021-07-24,2020,Génie Électrique,Recette - Dons
30,Activités Étudiantes,4860324.24,Dépense,2022-09-02,2023,Génie Civil,Dépense - Activités Étudiantes
31,Bibliothèque,11764.53,Dépense,2021-05-29,2024,Administration Centrale,Dépense - Bibliothèque
32,Formation Continue,2973984.81,Dépense,2020-05-16,2020,Génie Électrique,Dépense - Formation Continue
33,Travaux,4113981.84,Dépense,2024-04-14,2021,Génie Électrique,Dépense - Travaux
34,Dons,2961167.86,Recette,2021-05-24,2022,Mathématiques,Recette - Dons
35,Bibliothèque,710797.28,Dépense,2022-04-02,2020,Médecine,Dépense - Bibliothèque
36,Subvention État,2222472.96,Recette,2023-10-08,2022,Génie Civil,Recette - Subvention État
37,Salaires Administratifs,2607895.2,Dépense,2022-12-09,2020,Administration Centrale,Dépense - Salaires Administratifs
38,Maintenance,3305502.96,Dépense,2021-09-03,2020,Droit,Dépense - Maintenance
39,Travaux,776846.27,Dépense,2024-12-07,2022,Biologie,Dépense - Travaux
40,Dons,4191507.45,Recette,2021-06-07,2020,Administration Centrale,Recette - Dons
41,Formation Continue,850595.49,Dépense,2023-12-24,2023,Biologie,Dépense - Formation Continue
42,Salaires Administratifs,451979.05,Dépense,2024-02-07,2024,Médecine,Dépense - Salaires Administratifs
43,Dons,4185178.49,Recette,2022-06-04,2023,Informatique,Recette - Dons
44,Bibliothèque,4213201.75,Dépense,2024-02-09,2022,Biologie,Dépense - Bibliothèque
45,Recherche Scientifique,2104030.34,Dépense,2024-09-08,2022,Génie Civil,Dépense - Recherche Scientifique
46,Salaires Administratifs,3568347.14,Dépense,2022-09-21,2021,Médecine,Dépense - Salaires Administratifs
47,Formation Continue,2174497.5,Dépense,2021-06-28,2020,Économie,Dépense - Formation Continue
48,Formation Continue,1885353.48,Dépense,2022-11-28,2023,Informatique,Dépense - Formation Continue
49,Formation Continue,4192646.19,Dépense,2023-08-09,2020,Médecine,Dépense - Formation Continue
50,Maintenance,1809897.13,Dépense,2023-10-09,2024,Génie Électrique,Dépense - Maintenance
51,Contrats Recherche,3238971.48,Recette,2022-06-20,2023,Médecine,Recette - Contrats Recherche
52,Dons,4067671.75,Recette,2023-07-10,2023,Administration Centrale,Recette - Dons
53,Subvention État,130480.67,Recette,2021-11-04,2020,Biologie,Recette - Subvention État
54,Dons,4248656.12,Recette,2021-06-03,2022,Administration Centrale,Recette - Dons
55,Maintenance,1390396.06,Dépense,2024-05-24,2020,Génie Civil,Dépense - Maintenance
56,Bibliothèque,3845369.58,Dépense,2020-11-24,2021,Droit,Dépense - Bibliothèque
57,Contrats Recherche,3706116.8,Recette,2024-03-22,2022,Physique,Recette - Contrats Recherche
58,Contrats Recherche,1765505.46,Recette,2023-01-07,2021,Génie Civil,Recette - Contrats Recherche
59,Frais d'inscription,3200864.17,Recette,2021-10-02,2024,Économie,Recette - Frais d'inscription
60,Énergie,1018724.1,Dépense,2024-10-19,2023,Génie Civil,Dépense - Énergie
61,Travaux,4479943.35,Dépense,2024-03-25,2021,Physique,Dépense - Travaux
62,Salaires Administratifs,957050.87,Dépense,2021-09-27,2024,Administration Centrale,Dépense - Salaires Administratifs
63,Activités Étudiantes,2695889.25,Dépense,2022-03-26,2024,Mathématiques,Dépense - Activités Étudiantes
64,Salaires Administratifs,3561211.18,Dépense,2024-11-30,2023,Biologie,Dépense - Salaires Administratifs
65,Recherche Scientifique,2668810.48,Dépense,2022-03-23,2021,Génie Électrique,Dépense - Recherche Scientifique
66,Bibliothèque,3070965.94,Dépense,2020-06-17,2022,Chimie,Dépense - Bibliothèque
67,Salaires Enseignants,1237058.93,Dépense,2020-11-13,2022,Informatique,Dépense - Salaires Enseignants
68,Maintenance,1234305.17,Dépense,2021-04-07,2023,Administration Centrale,Dépense - Maintenance
69,Frais d'inscription,1490997.74,Recette,2020-02-12,2024,Économie,Recette - Frais d'inscription
70,Subvention État,2067494.59,Recette,2024-10-02,2024,Médecine,Recette - Subvention État
71,Formation Continue,4444134.66,Dépense,2022-03-03,2022,Génie Civil,Dépense - Formation Continue
72,Dons,1857440.22,Recette,2021-04-25,2022,Droit,Recette - Dons
73,Équipements Informatiques,1615096.13,Dépense,2024-08-21,2021,Droit,Dépense - Équipements Informatiques
74,Salaires Administratifs,4905245.01,Dépense,2024-05-25,2024,Économie,Dépense - Salaires Administratifs
