projet_id,titre,enseignant_id,departement,budget,depenses,statut,date_debut,date_fin_prevue,publications,thematique
1,Projet Biotechnologie #1,23,Physique,6012012.02,2237129.29,Terminé,2023-07-26,2026-10-09,9,Droit Numérique
2,Projet Réseaux & Télécoms #2,70,Économie,4374344.89,4205435.75,En cours,2023-12-18,2023-10-09,4,Santé Numérique
3,Projet Biotechnologie #3,46,Génie Électrique,6631909.34,2989457.45,Suspendu,2023-12-28,2023-03-29,5,Santé Numérique
4,Projet Santé Numérique #4,65,Biologie,9223837.49,9064395.08,En cours,2022-01-11,2026-07-19,4,Biotechnologie
5,Projet Économie Durable #5,74,Génie Civil,1825452.36,1490040.49,En cours,2019-06-17,2025-05-08,5,Énergies Renouvelables
6,Projet Réseaux & Télécoms #6,65,Biologie,5667969.0,2944900.11,Suspendu,2022-02-01,2026-09-23,0,Biotechnologie
7,Projet Santé Numérique #7,30,Droit,6998101.55,5512574.25,Terminé,2023-02-07,2025-02-03,3,Économie Durable
8,Projet Économie Durable #8,67,Médecine,6740473.01,2647655.97,Suspendu,2022-11-09,2023-08-06,2,Matériaux Avancés
9,Projet Intelligence Artificielle #9,59,Chimie,1979161.22,1373424.75,En cours,2023-06-14,2025-10-30,5,Énergies Renouvelables
10,Projet Économie Durable #10,64,Mathématiques,1871377.72,135125.96,Terminé,2020-09-12,2024-03-04,7,Énergies Renouvelables
11,Projet Biotechnologie #11,25,Génie Électrique,723303.33,22492.88,En cours,2023-08-23,2026-10-25,1,Énergies Renouvelables
12,Projet Économie Durable #12,9,Droit,2907622.06,2765185.38,Terminé,2019-01-22,2026-11-30,11,Réseaux & Télécoms
13,Projet Intelligence Artificielle #13,44,Informatique,4183599.47,872064.64,Terminé,2022-10-22,2025-10-03,15,Intelligence Artificielle
14,Projet Économie Durable #14,64,Mathématiques,3536502.55,109774.17,Suspendu,2023-03-22,2026-01-08,3,Énergies Renouvelables
15,Projet Intelligence Artificielle #15,55,Informatique,7041615.85,4367433.54,Terminé,2021-02-17,2023-03-21,15,Droit Numérique
16,Projet Énergies Renouvelables #16,12,Droit,5011281.97,2724809.17,En cours,2021-07-20,2025-02-16,1,Santé Numérique
17,Projet Droit Numérique #17,31,Chimie,6234282.98,2925621.19,Terminé,2020-03-19,2026-06-10,9,Économie Durable
18,Projet Droit Numérique #18,13,Génie Civil,597792.53,76747.09,Suspendu,2019-05-22,2025-10-25,0,Biotechnologie
19,Projet Intelligence Artificielle #19,60,Droit,3110040.91,1757328.48,Suspendu,2020-06-02,2026-04-14,5,Énergies Renouvelables
20,Projet Intelligence Artificielle #20,67,Médecine,5165440.51,4660579.37,Terminé,2020-08-17,2026-05-16,5,Santé Numérique
21,Projet Droit Numérique #21,55,Informatique,1541908.42,238681.55,En cours,2021-09-22,2024-05-25,1,Intelligence Artificielle
22,Projet Intelligence Artificielle #22,50,Génie Civil,7869531.09,6349158.6,En cours,2020-09-11,2024-01-10,3,Matériaux Avancés
23,Projet Droit Numérique #23,44,Informatique,8722873.09,5090405.44,Terminé,2023-07-14,2026-12-06,7,Énergies Renouvelables
24,Projet Intelligence Artificielle #24,13,Génie Civil,2062116.15,272197.28,Suspendu,2021-06-16,2025-10-13,4,Santé Numérique
25,Projet Énergies Renouvelables #25,56,Médecine,695107.25,365053.1,Suspendu,2021-05-07,2025-08-28,2,Intelligence Artificielle
26,Projet Énergies Renouvelables #26,36,Génie Électrique,4644765.69,3260847.35,En cours,2020-06-22,2026-09-23,0,Santé Numérique
27,Projet Intelligence Artificielle #27,61,Droit,4312606.24,3964468.73,En cours,2019-11-28,2023-06-26,0,Biotechnologie
